Location,Latitude,Longitude,Name,ID
1210 N. Atlantic Blvd.; Alhambra; CA 91801,34.106047,-118.134373,In-N-Out Burger,1
1168 State College Blvd.; Anaheim; CA 92806,33.8191745,-117.888691,In-N-Out Burger,1
600 S. Brookhurst Anaheim; CA 92804,33.8248326,-117.9584997,In-N-Out Burger,1
5646 E. La Palma; Anaheim Hills; CA 92807,33.8593263,-117.791476,In-N-Out Burger,1
420 N. Santa Anita Arcadia; CA 91006,34.1452973,-118.0311843,In-N-Out Burger,1
1170 W. Branch St. Arroyo Grande; CA 93420,35.127287,-120.5979633,In-N-Out Burger,1
6000 San Anselmo Rd. Atascadero; CA 93422,35.496933,-120.6843322,In-N-Out Burger,1
130 Grass Valley Hwy. Auburn; CA 95603,38.901326,-121.0748263,In-N-Out Burger,1
324 S. Azusa Azusa; CA 91702,34.1176533,-117.9073379,In-N-Out Burger,1
5100 Stockdale Hwy. Bakersfield; CA 93309,35.3545057,-119.057991,In-N-Out Burger,1
2310 Panama Lane Bakersfield; CA 93307,35.2963142,-119.0285005,In-N-Out Burger,1
13850 Francisquito Ave. Baldwin Park; CA 91706,34.0676711,-117.9734889,In-N-Out Burger,1
2821 Lenwood Rd. Barstow; CA 92311,34.849945,-117.0823705,In-N-Out Burger,1
5581 Lone Tree Way Brentwood; CA 94513,37.9611278,-121.7477294,In-N-Out Burger,1
7926 Valley View Buena Park; CA 90620,33.847281,-118.0281247,In-N-Out Burger,1
761 First Street Burbank; CA 91502,34.1849394,-118.3160389,In-N-Out Burger,1
49188 Seminole Dr. Cabazon; CA 92230,33.9214003,-116.8036215,In-N-Out Burger,1
1316 Ventura Blvd. Camarillo; CA 93010,34.21723,-119.052959,In-N-Out Burger,1
6841 N. Topanga Canyon Canoga Park; CA 91303,34.1946418,-118.605938,In-N-Out Burger,1
5950 Avenida Encinas Carlsbad; CA 92008,33.1251144,-117.3245803,In-N-Out Burger,1
11880 Carmel Mountain Rd. Carmel Mountain; CA 92128,32.9816568,-117.0775578,In-N-Out Burger,1
2050 Business Lane Chico; CA 95928,39.7238878,-121.8068149,In-N-Out Burger,1
3927 Grand Ave. Chino; CA 91710,33.997423,-117.718503,In-N-Out Burger,1
1725 Eastlake Pkwy. Chula Vista; CA 91915,32.6204986,-116.9620441,In-N-Out Burger,1
17849 E. Colima Road City Of Industry; CA 91748,33.9903336,-117.9153908,In-N-Out Burger,1
21620 E. Valley Blvd City Of Industry; CA 91789,34.0274967,-117.8346818,In-N-Out Burger,1
382 N. Clovis Ave. Clovis; CA 93612,36.8369232,-119.7005548,In-N-Out Burger,1
450 Auto Center Dr. Corona; CA 92882,33.8816999,-117.6134451,In-N-Out Burger,1
2305 Compton Ave. Corona; CA 92881,33.8439971,-117.5364276,In-N-Out Burger,1
594 W. 19th Street Costa Mesa; CA 92627,33.6436893,-117.9229246,In-N-Out Burger,1
3211 Harbor Blvd. Costa Mesa; CA 92626,33.6877112,-117.9198672,In-N-Out Burger,1
1371 Grand Ave. Covina; CA 91724,34.1049139,-117.873033,In-N-Out Burger,1
260 Washington St. Daly City; CA 94015,37.6882509,-122.471981,In-N-Out Burger,1
1020 Olive Drive Davis; CA 95616,38.5409729,-121.7372239,In-N-Out Burger,1
21133 Golden Springs Diamond Bar; CA 91765,34.0005344,-117.8434692,In-N-Out Burger,1
